cafe_name	image_url	rating	latitude	longitude	address	tel	opening_hour	homepage_url
알베르	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F901B43175C6A440E9577A2B512BD15BE	3.1	37.5029796720996	127.028119720582	서울 강남구 강남대로102길 34	02-566-6181	매일 10:00 ~ 23:00	NULL
블루보틀 역삼 카페	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB1F2AC415A44461E8AC3DF6149C625E1	3.9	37.50003049065215	127.0323775713204	서울 강남구 테헤란로 129	1533-6906	매일 08:00 ~ 20:30	https://www.bluebottlecoffeekorea.com/
썸띵어바웃커피	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9521163CEF8349FC97A36C3242E1EEB9	3.6	37.502824775159816	127.02779847587531	서울 강남구 강남대로102길 30	NULL	매일 11:00 ~ 23:00	https://instagram.com/something_about_coffee_
카페413프로젝트	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F41B491465E0749A9AF08716B9CDC7178	4.1	37.5023544936241	127.034470798439	서울 강남구 논현로97길 19-11	070-7798-0544	화~일 10:30 ~ 21:00 / 기타 (브런치 라스트오더 19:00)	https://www.instagram.com/cafe413project/
정월	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8B542B92FEB148BAB6318CB5A8BE84A6	3.4	37.5036607105687	127.028626642226	서울 강남구 강남대로102길 46	02-6013-0926	매일 11:00 ~ 22:00	https://www.instagram.com/cafe_jungwol
가배도 신논현점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB59A20ADFA864C31B54124064E339231	3.4	37.504014524333215	127.02594414795092	서울 강남구 강남대로110길 13	02-554-4542	매일 11:00 ~ 21:00	https://www.instagram.com/gbdcoffee
루프808	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F437F8E2FB0144C9A87823DB77D21CF68	4.3	37.504339079125394	127.02505080057104	서울 강남구 강남대로 470	02-3452-8088	매일 11:00 ~ 01:00	https://instagram.com/roof808
빌리엔젤 강남역점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F231574395697041A19	2.9	37.50144282174391	127.02698144077588	서울 강남구 테헤란로1길 48	070-5051-8135	매일 11:00 ~ 23:00	http://www.billyangel.co.kr/
평화다방 강남역점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F930435CFBAD044E5996EE374EF8175D1	2.7	37.4991954216359	127.028226866339	서울 강남구 강남대로94길 10	070-4801-1386	매일 11:00 ~ 22:00	https://www.instagram.com/peace_coffee_house
까치화방 강남점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7CB98108E8C242B2BEB841154ED91B38	NULL	37.5032665250306	127.026683527445	서울 강남구 봉은사로4길 23	02-558-5533	매일 11:30 ~ 22:00	https://www.instagram.com/cachi_flowercafe/
겟썸커피 다운스테어즈	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2F72767995744BD2AF5671748D40230E	3.5	37.5030699699519	127.027278333241	서울 강남구 봉은사로6길 30	070-4113-3619	화~일 11:00 ~ 22:00	https://www.instagram.com/get.some.coffee/
스타벅스 강남R점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F469AED68708949D7AC7F30BA780C4A41	4.2	37.4976744709989	127.028443419181	서울 강남구 강남대로 390	1522-3232	월~토 07:00 ~ 22:00 / 일 08:00 ~ 22:00	http://www.starbucks.co.kr
쉼스토리	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F81AEE70B16EA4F94B9850063B3661482	4.5	37.49454553431844	127.03099334872962	서울 강남구 역삼로3길 17	070-7778-6441	월~금 10:00 ~ 22:30 / 토,일 11:00 ~ 23:00	http://blog.naver.com/shuimstory1
더달달	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F216D313652F458512E	4.2	37.503192221615	127.028486226258	서울 강남구 강남대로102길 38-6	02-562-3737	월~토 10:30 ~ 24:00 / 일 13:00 ~ 22:00	https://blog.naver.com/cafethedaldal
비트포비아 강남던전점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE87161BAD9E9440CBAEC24BED8CC4F86	3.6	37.497583697643	127.031112213726	서울 강남구 강남대로84길 33	02-555-4360	월~금 11:30 ~ 23:00	https://www.xdungeon.net
크리에잇쿠키 역삼점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0C45B8C55E854B8E9BFD7686D38E5EBE	4.2	37.50292193725799	127.03511569524726	서울 강남구 테헤란로25길 36	02-558-8890	매일 08:00 ~ 21:00	http://www.cre8cookies.com
코드케이 강남점	NULL	3.6	37.5025727970466	127.026477450392	서울 강남구 봉은사로2길 31	02-501-8245	매일 10:00 ~ 23:00	http://www.code-k.co.kr
키이스케이프 강남 더오름	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0A623357F50A42BE9E999E35DDAA4C3E	4.8	37.4966142182906	127.03109824138642	서울 강남구 테헤란로6길 30	010-3776-6082	월~금 10:00 ~ 23:30 / 토,일 10:00 ~ 24:00	http://keyescape.com
로얄마카롱	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F73D7A83AED034A91B79D9B7DE5209284	4.2	37.5022676929746	127.035497643301	서울 강남구 테헤란로25길 26	070-4110-2000	매일 11:00 ~ 21:00	http://www.instagram.com/royal__macaron
로브니	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F364382B541AC412E9355D13E92219740	3.9	37.50286479321628	127.04886110524788	서울 강남구 선릉로85길 8	070-4122-1816	월~금 10:00 ~ 20:30 / 토,일 11:00 ~ 18:30	https://www.instagram.com/laubenuit_official/
키이스케이프 강남점	NULL	4.7	37.5001035869388	127.028430769789	서울 강남구 강남대로96길 17	010-7456-6082	NULL	http://keyescape.co.kr
브라운홀릭	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F193545344E8AC09819	3.4	37.5010549835616	127.028702549419	서울 강남구 강남대로98길 25	02-555-5978	월~금 09:00 ~ 22:00 / 토,일 10:00 ~ 22:00	https://www.instagram.com/brownholic/
후웨이즈텐카민	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0C1862384E544F72943C560876B87645	3.8	37.5092098415682	127.043834396892	서울 강남구 선릉로107길 4	02-568-2227	월~금 08:00 ~ 22:30 / 토,일 09:00 ~ 21:30	NULL
고양이라좋은날	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F294069F199B54A7A8CA5AE097E1C9732	4.4	37.500860377276986	127.02865723856092	서울 강남구 강남대로98길 28	02-556-3880	매일 12:00 ~ 22:00	https://www.instagram.com/dewisaya1/
욕망의북카페	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0E4BA32468D14B3CBD7D4505C5C4D998	4.0	37.503842804062	127.028251234978	서울 강남구 강남대로102길 45	02-6956-0121	매일 10:00 ~ 22:00	http://Blog.naver.com/chaeyujin00
뮬리	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4B132080C077449A89C3E32A842688F6	3.6	37.5021090969379	127.035560900184	서울 강남구 논현로93길 6	02-538-0803	월~금 08:00 ~ 22:00 / 토 11:00 ~ 22:00 / 일 11:00 ~ 21:00	https://www.facebook.com/Muhly2017
트리오드	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5819BADA51884B3DAB21DE2C4D89352F	3.4	37.4996167604381	127.029584093415	서울 강남구 강남대로94길 28	02-568-9427	매일 11:00 ~ 22:00 / 매일 라스트오더 ~ 21:00	https://instagram.com/triode.official
할리스 강남역점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE149830B5F8642D6BDB52263A4F5595C	3.1	37.49871619356776	127.02777433522404	서울 강남구 강남대로 402	02-555-0890	월~목 07:30 ~ 24:00 / 금,토 07:30 ~ 01:00 / 일 08:30 ~ 24:00	http://www.hollys.co.kr
클로리스 역삼GFC점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F04C18B3E3AC74EF28E6AD42A89FECFCA	4.1	37.5000833293743	127.036564176373	서울 강남구 테헤란로 152	02-553-7523	월~금 08:30 ~ 22:00 / 토 11:30 ~ 21:00 / 일 11:30 ~ 18:00	http://www.cafechloris.co.kr/
에이비카페	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEB2CA8F0BDB440FFAA50495B61A2DF0A	3.8	37.5028968235922	127.027934215372	서울 강남구 강남대로102길 32	02-566-2052	월~금 09:00 ~ 23:00 / 토,일 11:00 ~ 23:00	http://abcafe.co.kr/
넥스트에디션 강남5호점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4814A3A350DD4522A3D9836C13836370	2.4	37.499545006601	127.028249615716	서울 강남구 강남대로94길 11	0507-457-6277	매일 10:30 ~ 24:00	https://www.nextedition.co.kr/shops/Nextedition%20gangnam5
투썸플레이스 강남대륭타워점	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB08EC6CB37E0462683BFDA0B6C3FB3F4	2.4	37.49518747696192	127.02932564919723	서울 강남구 강남대로 362	02-538-2369	매일 07:00 ~ 23:00	http://www.twosome.co.kr
라브리크 서울	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD63E40F5A6AE44FCAA85746FBDE16820	2.6	37.5024174875367	127.027938560521	서울 강남구 봉은사로18길 66	02-555-1215	매일 10:00 ~ 22:00 / 매일 라스트오더 ~ 21:00	https://www.instagram.com/labrick_official/
룸카페 바니	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2B1AAA5222864076A933D321A16B2131	3.1	37.499734261007006	127.02806874426594	서울 강남구 강남대로96길 12	NULL	월~금 12:00 ~ 24:00 / 토,일 11:00 ~ 24:00	https://m.blog.naver.com/cfbunny
