cafe_name	name	dessert_tag	price	image_url
알베르	아메리카노	NULL	6,000원	NULL
알베르	알베르 시그니쳐 라때	NULL	8,000원	NULL
알베르	카페라떼	NULL	6,500원	NULL
알베르	카페모카	NULL	7,000원	NULL
알베르	아포가토	NULL	7,500원	NULL
알베르	얼그레이리저브	NULL	6,500원	NULL
알베르	초코라떼	NULL	6,500원	NULL
알베르	녹차라떼	NULL	6,500원	NULL
알베르	블루베리에이드	NULL	8,000원	NULL
알베르	패션후르츠에이드	NULL	8,000원	NULL
알베르	토마토주스	NULL	8,000원	NULL
알베르	키위주스	NULL	8,000원	NULL
알베르	티라미수	NULL	7,000원	NULL
알베르	치즈케이크	케이크	7,000원	NULL
알베르	스콘	구움과자	3,300원	NULL
알베르	말차콩고물쿠키	구움과자	3,200원	NULL
알베르	얼그레이파운드케이크	케이크	4,500원	NULL
알베르	샌드위치 + 아메리카노 세트	NULL	12,000원	NULL
블루보틀 역삼 카페	아메리카노	NULL	5,600원	NULL
썸띵어바웃커피	아메리카노	NULL	6,000원	NULL
썸띵어바웃커피	에스프레소	NULL	6,000원	NULL
썸띵어바웃커피	플랫화이트	NULL	6,500원	NULL
썸띵어바웃커피	카페라떼	NULL	6,500원	NULL
썸띵어바웃커피	카푸치노	NULL	6,500원	NULL
썸띵어바웃커피	바닐라라떼	NULL	7,000원	NULL
썸띵어바웃커피	헤이즐넛라떼	NULL	7,000원	NULL
썸띵어바웃커피	카페모카	NULL	7,000원	NULL
썸띵어바웃커피	콜드브루	NULL	6,500원	NULL
썸띵어바웃커피	콜드브루라떼	NULL	7,000원	NULL
썸띵어바웃커피	그린티라떼	NULL	7,500원	NULL
썸띵어바웃커피	초코라떼	NULL	7,500원	NULL
썸띵어바웃커피	로얄밀크티	NULL	7,500원	NULL
썸띵어바웃커피	아인슈페너	NULL	7,000원	NULL
썸띵어바웃커피	그린티아인슈페너	NULL	7,000원	NULL
썸띵어바웃커피	밀크티아인슈페너	NULL	7,500원	NULL
썸띵어바웃커피	쑥크림슈페너	NULL	7,500원	NULL
썸띵어바웃커피	자몽에이드	NULL	7,500원	NULL
썸띵어바웃커피	레몬에이드	NULL	7,500원	NULL
썸띵어바웃커피	라임모히또	NULL	7,500원	NULL
썸띵어바웃커피	복숭아자몽	NULL	7,500원	NULL
썸띵어바웃커피	엘더플라워	NULL	7,500원	NULL
카페413프로젝트	아메리카노	NULL	4,800원	NULL
카페413프로젝트	카페 라떼	NULL	4,500원	NULL
카페413프로젝트	플랫 빈센트 (ICE)	NULL	5,000원	NULL
카페413프로젝트	모카 크라우드 (ICE)	NULL	6,300원	NULL
카페413프로젝트	시그니처 밀크티	NULL	6,000원	NULL
카페413프로젝트	라임 모히또	NULL	7,500원	NULL
정월	에스프레소	NULL	4,500원	NULL
정월	아메리카노	NULL	6,000원	NULL
정월	아인슈페너	NULL	7,500원	NULL
정월	플랫화이트	NULL	6,500원	NULL
정월	카페라떼 노멀	NULL	6,500원	NULL
정월	카페라떼 헤이즐넛 솔트	NULL	7,000원	NULL
정월	카페라떼 바닐라	NULL	7,000원	NULL
정월	핸드드립	NULL	7,500원	NULL
정월	말차라떼	NULL	7,000원	NULL
정월	말차아인슬패너	NULL	8,000원	NULL
정월	말차샷라페	NULL	7,500원	NULL
정월	밀크티	NULL	7,500원	NULL
정월	기라델리 쇼콜라	NULL	7,000원	NULL
정월	녹차유자	NULL	6,500원	NULL
정월	녹차수국	NULL	6,500원	NULL
정월	녹차민트	NULL	6,500원	NULL
정월	녹차레몬	NULL	6,500원	NULL
정월	복숭아에이드	NULL	7,000원	NULL
정월	라임민트에이드	NULL	7,000원	NULL
정월	엘더플라워에이드	NULL	7,000원	NULL
가배도 신논현점	티라미수	NULL	7,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F28CF23DD81F34D1A820AD73E3B9574B6
가배도 신논현점	가배	NULL	4,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F07FA92C09B9C4E529D9500940C8004ED
