cafe_name	nickname	rating	content	profile	created_date	collected_date
알베르	정시우	4.0	NULL	https://p.kakaocdn.net/th/talkp/woDqH5zwxT/LR5KIRuGceDtGbw3S4sGi1/kahrvh_640x640_s.jpg	2024-02-19	2024-03-29
알베르	김승인	5.0	이런공간이강남 한복판에 있다는게믿겨지지가 않는다.	NULL	2024-02-17	2024-03-29
알베르	이수정 crystal	5.0	알바는 친절하지 않지만 티라미슈는 믿보먹입니다	https://p.kakaocdn.net/th/talkp/wovwn1tzHT/7x2baTCKUBbtWbZ3wvVwKK/cucxqp_640x640_s.jpg	2024-02-16	2024-03-29
알베르	묭묭묭	2.0	맛이없는데 일하시는분들 너무안친절하심ㅋㅋㅋ 아따까칠해라잉게다가 이층 인터넷안됨 ㅜㅠ	http://t1.daumcdn.net/local/kakaomapPhoto/profile/b6e6cd99d7896884b2e8c13848b22505ca4dd9eb?original	2024-02-11	2024-03-29
알베르	pq	5.0	NULL	http://t1.daumcdn.net/local/kakaomapPhoto/profile/5a62c2420d0cd8c494e811f5377d58286f9da60c?original	2024-02-06	2024-03-29
알베르	소쩍꿍	3.0	그 흔한 자몽티 같은게 하나도 없고 티종류는̆̈ 티백하나 넣어주는데진심 원가 얼마인지 대충 예상가서 마진 얼마남는지 대충 알 것 같은 맛 .. 티종류 twl같은 고급 브랜드 아님무튼 .. 노트북 가져와서 막 작업하긴 좋은 카페카공족에게 추천 직원들은 자기들끼리얘기하고 해서 카공족 신경안쓰는듯 합니다 ㅎㅎ	http://t1.daumcdn.net/local/kakaomapPhoto/profile/147c36d51d2c25d76971363b6324716719afe2f4?original	2024-02-04	2024-03-29
알베르	얌냠냠	3.0	스터디카페임. 케이크는 맛있음	http://t1.daumcdn.net/local/kakaomapPhoto/profile/94530b7ed86668558d2c518b4096d35c467bec3f?original	2024-02-02	2024-03-29
알베르	윤수민	5.0	NULL	https://p.kakaocdn.net/th/talkp/woEtF6JCwp/FMFIsPaT6HZbUx3aXWm8l0/jgagqw_640x640_s.jpg	2024-02-01	2024-03-29
알베르	뜌뜌	1.0	직원들 개개개개개개불친절합니다. 주문했는데 포스에만 띡 찍고 아무말없이 카드달라고 손만 띡 내미는거보고 당황,,음료 픽업가서 진동벨드리고 감사합니다 했는데 진동벨 휙 받아서 던져버리고,,여긴 뭔가 원래 웃음이 없는 직원들인가 햇는데 지들끼린 낄낄거리고 잘 웃네요^^,,,여름에 오고 재방문인데 이젠 방문의사 일절없습니다	http://t1.daumcdn.net/local/kakaomapPhoto/profile/71070dbd7c5b31d1bb2e379f74e9f442a839ca27?original	2024-01-28	2024-03-29
알베르	맛잘알주니맘	5.0	공부하기도 좋고~ 넓어서 좋아요!! 친구들이랑 수다 떨로 자주 갑니다	http://t1.daumcdn.net/local/kakaomapPhoto/profile/4b057776f3ae7c363bc416d6d10a58eec4f3e08f?original	2024-01-23	2024-03-29
알베르	WZ	4.0	NULL	http://t1.daumcdn.net/local/kakaomapPhoto/profile/cd933e71dcd2a226e51478060b0f3becce1eef60?original	2024-01-19	2024-03-29
알베르	소소소	2.0	아메리카노 마시고 너무 맛없어 깜짝놀람. 이렇게 맛없는 커피는 첨먹어봄.  티라미수도 크림만 있고.....정말.... 맛이 최악	http://th-p.talk.kakao.co.kr/th/talkp/wkpVjyq2cf/pxIbfkGFWzJmKieGmTJpV1/cs9r2j.jpg	2024-01-14	2024-03-29
알베르	도리	2.0	bad americano, no difference with waterbut large space, and too many peoplea bit dark, and nice affogato (ice cream이 다했다)	NULL	2024-01-14	2024-03-29
알베르	숭꿍이	1.0	커피가 그냥 밍밍해요 숭늉보다 싱거버요	http://t1.daumcdn.net/local/kakaomapPhoto/profile/ae9238849271731f21aa3b1075fa0d248568c68b?original	2024-01-14	2024-03-29
알베르	Clara	4.0	Very nice place and enjoyable neighbourhood, good matcha latte, a bit loud but okay	https://p.kakaocdn.net/th/talkp/wnQiczaTmn/fp9yoTSnkYmLrnOGdmnbk1/5ppc93_640x640_s.jpg	2024-01-09	2024-03-29
알베르	냠냠냠냠냠	2.0	책 읽으러 왔는데, 좀 시끄럽고 조명이 어두움!	http://th-p.talk.kakao.co.kr/th/talkp/wkKBh76C2M/7wXIEhekiQZlxO0bWrmf6K/6lauvo.jpg	2024-01-07	2024-03-29
알베르	할말많은데참음	1.0	Hoxy 여자 알바 우환있으신가요.저러고 알바비 받을텐데 양심없다😇	http://t1.daumcdn.net/local/kakaomapPhoto/profile/20ba5b1076e99922e4020380c2cede3eacc1bf5a?original	2024-01-06	2024-03-29
알베르	.	1.0	하 다 좋은데..알바 그리고 직원 전체적으로 문제있던데요ㅠ 최소한 음료가 카운터에 쭉 깔려있으면 뭐가 뭔지는 알려줘야하는거 아닌가요..? 교육의 부재인지 아님 걍 인성이 추잡한건지	http://t1.daumcdn.net/local/kakaomapPhoto/profile/4fb0127f0b0359584c93591e9ea994a6309a8b83?original	2023-12-14	2024-03-29
알베르	hami	5.0	가을분위기 물씬	http://k.kakaocdn.net/dn/MCmSy/btqzrCSavVC/QoCjPAoBwWdjAlBZTYzCy1/img_640x640.jpg	2023-12-06	2024-03-29
알베르	삘리	1.0	여자 알바인지 주인인지 응대 진짜 별로에요..서비스직 왜 하시나요?	http://th-p.talk.kakao.co.kr/th/talkp/wk4ohOGHPU/cb6oe7mZgWoLLjxKkhYw3K/b16oln.jpg	2023-12-05	2024-03-29
알베르	후기맨	3.0	매장 관리는 필요하다. 테이블마다 디저트 부스러기가 전혀 치워져 있지 않고 퀘퀘한 냄새도 중간중간 났다. 그럼에도 불구하고 별이 세 개인 이유는 아메리카노가 맛있었어서. 탄 맛이 아니라 과일향이 나는 맛있는 아메리카노였다. 디저트는 예전엔 맛있었는데 이번엔 잘 모르겠더라...	http://t1.daumcdn.net/local/kakaomapPhoto/profile/2545bf06e14c335c0f3d022d5ef5e66a66637269?original	2023-12-04	2024-03-29
