cafe_name	image_url	rating	latitude	longitude	address	tel	opening_hour	homepage_url
정월	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190510_203%2F1557479953024HXRbs_JPEG%2FYgCUkP5yKk_14_nnud0w0WyY.jpg	NULL	37.5036729	127.0286442	서울 강남구 강남대로102길 46 1층	0507-1339-0926	월 12:00 - 22:00 / 화 12:00 - 22:00 / 수 12:00 - 22:00 / 목 12:00 - 22:00 / 금 12:00 - 22:00 / 토 12:00 - 22:00 / 일 12:00 - 22:00	https://www.instagram.com/cafe_jungwol
프라텔리	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221216_243%2F1671183507111QlLlg_JPEG%2FKakaoTalk_20221216_182511120.jpg	NULL	37.502847	127.0269352	서울 강남구 봉은사로4길 31	0507-1449-0346	매일 12:00 - 23:00	https://www.instagram.com/fratelli_odt
트리오드	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240324_145%2F1711255383347DOibB_JPEG%2FIMG_1913.jpeg	NULL	37.4996515	127.0296218	서울 강남구 강남대로94길 28 유니언타운 L층	0507-1337-9427	월 11:00 - 22:00 / 화 11:00 - 22:00 / 수 11:00 - 22:00 / 목 11:00 - 22:00 / 금 11:00 - 22:00 / 토 11:00 - 22:00 / 일 11:00 - 22:00	https://www.nextkitchencompany.com/
썸띵어바웃커피	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200410_63%2F1586525835413cIJAS_JPEG%2FtgP2t6xLpFwDN_PCxDkLFXzU.jpeg.jpg	NULL	37.5028451	127.0278381	서울 강남구 강남대로102길 30 1, 2, 3층	02-538-6991	매일 11:00 - 22:30	NULL
알베르	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210509_87%2F1620541361661OMRUl_JPEG%2FtEEdIzEFLcIhVftLCEiahq2b.jpeg.jpg	NULL	37.5030493	127.0281256	서울 강남구 강남대로102길 34 1	02-566-6181	매일 10:00 - 23:00	http://instagram.com/alver_coffee
팡뮤제 베이커리 강남본점	https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240101_264%2F1704113136861OX5ov_JPEG%2F1000066083.jpg	NULL	37.4962852	127.0321077	서울 강남구 테헤란로8길 40 1층	0507-1476-8318	월 07:30 - 23:00 / 화 07:30 - 23:00 / 수 07:30 - 23:00 / 목 07:30 - 23:00 / 금 07:30 - 23:00 / 토 09:00 - 23:00 / 일 09:00 - 22:00	https://www.instagram.com/panmusee_gangnam
어퍼앤언더	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220108_22%2F1641642743129dMNdJ_JPEG%2F78531A52-0927-43A4-AF7F-DFA8F61D4065.jpeg	NULL	37.5027528	127.0277258	서울 강남구 강남대로102길 28 지하1층, 1층, 2층	02-557-6991	매일 11:00 - 22:00	NULL
베이커스트 브라운	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230304_36%2F1677907120502iRlKy_JPEG%2F66778936-BBB2-45AA-9F92-E74E811DA426.jpeg	NULL	37.5025035	127.0272434	서울 강남구 강남대로102길 21 지하1, 지상1~3층	02-558-6991	매일 11:00 - 22:30	NULL
가배도 신논현	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180902_158%2F1535886187305HplCQ_JPEG%2FE5shWZzcvAQRHowrEeulALEo.jpg	NULL	37.504037	127.0259474	서울 강남구 강남대로110길 13 2,3층	02-554-4542	월 11:00 - 21:00 / 화 11:00 - 21:00 / 수 11:00 - 21:00 / 목 11:00 - 21:00 / 금 11:00 - 21:00 / 토 11:00 - 21:00 / 일 11:00 - 21:00	http://gbdcoffee.com
에이비카페	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_158%2F1699959126504u7DWl_JPEG%2Fabcafe.jpeg	NULL	37.5029149	127.0279438	서울 강남구 강남대로102길 32	02-566-2052	매일 00:00 - 24:0008:00 - 09:00 브레이크타임	http://www.abcafe.co.kr/
