cafe_name	nickname	rating	content	profile	created_date	collected_date
정월	죽희	NULL	고즈넉한 분위기가 너무 좋네요. 주말에 가서 실내는 만석이라 테라스에 앉았는데 날이 조금만 따뜻해지면 테라스에서 커피 마시기 딱일 것 같아요. 디저트도 맛있었지만 커피 맛이 예술 ㅎㅎ 아인슈페너랑 헤이즐넛 솔트 라떼 모두 달달하고 맛있었습니다 ㅎㅎ 분위기 좋은 신논현역 카페 추천해요!	https://phinf.pstatic.net/contact/20220406_287/1649214247964Jb3Pt_JPEG/KakaoTalk_20220406_091202307_01.jpg	2024-03-17	2024-03-29
정월	리뷰쓰는 돼희	NULL	오늘 눈이 와서 그런지 창밖에서 테라스 대나무 구경하는데 더 이뻐보이더라구요☺️☺️ 날이 추워 뱅쇼마셨는데 맛있었고 아메리카노 원두 선택할 수 있어 좋았어요!  아인슈페너에 바닐라빈이 들어가서 그런지 바닐라맛이 나서 더 맛있었고 크림이 부드러웠어용  날 따뜻해지면 테라스에서도 마시고 싶네용ㅎㅎ	https://myplace-phinf.pstatic.net/20230312_229/1678587070244oGcLV_JPEG/8B9C454F-0D50-46DD-AC7D-588713FAF5E7.jpeg	2024-02-22	2024-03-29
정월	SonyA7C	NULL	위치도 조용한곳이 위치해 있으며 무엇보다 직원분들의 친절도가 정말 좋은 카페입니다.  말차가 맛있는 카페이며 꼭 드셔보셔야할 메뉴로 말차 아인슈페너는 반드시 마셔야하는 음료!!  쿠키와 함께 드시면 더더욱 맛있으니 꼭 가보시는걸 추천합니다.	https://myplace-phinf.pstatic.net/20240218_19/17082532509520Lfh7_JPEG/IMG_3859.jpeg	2024-03-07	2024-03-29
정월	페넬로삐	NULL	북적이고 정신없는 강남역에서 조금만 벗어나도 이렇게 멋지고 한적한 느낌이 나는 카페가 있어요. 정돈 돈까스랑 같은 회사인걸로 아는데요, 커피와 디저트도 맛집이랍니다! 주중 점심에 방문하면 한적한데, 주말에는 인기가 많을 것 같아요. 조용히 작업하기에도 좋고, 책 읽기도 좋고, 무엇보다도 인테리어가 너무 이쁩니다! 👍🏻 저는 여기 n번째 방문 중인데, 제 최애는 플랫화이트에요.	https://phinf.pstatic.net/contact/20220301_262/1646088780093ipBXc_PNG/profileImage.png	2024-03-04	2024-03-29
정월	mimijela	NULL	커피 말차 아인슈패너 모두 맛있고 사실 무엇보다 카페가 너무 예뻐요. 비오는 날이라 더 운치있고 좋았어요. 주차가 안되는 좀 어려운 위치지만 가끔 가고 싶은 곳이에요.	https://myplace-phinf.pstatic.net/20230305_36/1678010913315yurQs_JPEG/6EA868F3-C0A8-4409-85B2-0BD402689112.jpeg	2024-03-22	2024-03-29
정월	lhn1764	NULL	친구들과 만남이라 대형카페를 찾다가 왔습니다 :) 디저트 종류도 많고 직원분들이 넘 친절하셔요! 아메리카노 원두 맛은 선택이 가능한데 산미 있는 원두의 향과 맛이 고급집니다 ❤️  내부도 넓고 분위기도 좋아요~! 날씨 좋으면 테라스에 자리 잡고 사진 찍기에도 좋을 듯!!	https://phinf.pstatic.net/contact/20210314_188/1615724560641i2Ahh_JPEG/P20180926.JPG	2024-02-11	2024-03-29
정월	져니806	NULL	여기 여사장님도 넘 친절하시고 음료랑 디저트도 맛있어서 기분 좋게 머물다가 왔어요❣️ 저희는 얼그레이쉬폰케이크 한조각 먹었는데 엄청 부드럽고 푹신해서 잘 넘어가더라고요👍 말차라떼도 딱 제가 좋아하는 맛🌿 그리고 가게 인테리어도 예뻐서 여성분들이 특히 좋아하실 것 같아요ㅎㅎㅎ	https://myplace-phinf.pstatic.net/20240122_164/1705894617151AptAF_JPEG/IMG_2939.jpeg	2024-02-27	2024-03-29
정월	맛집교수	NULL	말차아인슈페너 맛있더라구요 ㅎㅎ  인테리어도 엔틱하니 깔끔하고 넓어서 사진찍기에도 좋고 조용해서 좋았어요! 강남 한복판에 이렇게 한적하고 여유로운 카페는 오랜만이라 마음에 드는 곳 🩷	https://phinf.pstatic.net/contact/20210716_44/1626400036463nTvEW_JPEG/KakaoTalk_20210716_104622888_02.jpg	2024-03-07	2024-03-29
정월	맛집탐방효로록	NULL	강남역에서 분위기좋고 아늑한카페 찾으신다면 추천드려요! 디저트도 특색있고 얼그레이레몬스콘이랑 무화과 휘낭시에  둘다 너무 맛있네요❤️ 	https://phinf.pstatic.net/contact/20220301_96/1646124225838hWL8l_JPEG/profileImage.jpg	2024-03-01	2024-03-29
정월	아로미1219	NULL	강남여행중 정월카페 방문했어여 존맛탱라떼와 디저트 정감있는 주택개조 인테리어 사진찍기도 좋고 대화하면서 데이트하기 좋아여 강남오면 또 방문하려고여 강추합니다 번창하세요	https://myplace-phinf.pstatic.net/20230929_277/1695995067426quhLD_JPEG/FB_IMG_1678609965437.jpg	2023-12-26	2024-03-29
정월	hahihuheho2	NULL	좌석 간격이 좁아서 조금 실망했어용;-; 조금만 더 여유있게 배치해주시면 좋겠다용 사람들 계속 들어오고 풀로 찼어요 커피 산미&고소&디카페인 고를 수 있어용 화장실 깨끗함!	https://phinf.pstatic.net/contact/20210401_12/16172300983606RBtF_JPEG/profileImage.jpg	2024-03-01	2024-03-29
정월	산책하는 멍이	NULL	매장 인테리어 이쁘고 분위기도 좋았어요 날 좋을땐 야외에서 사진찍고 수다떨기도 딱 좋아요..! 매장 안은 몇군데는 많이 시끄럽긴했어요ㅠ 그래도 친구들이랑 잘 놀다갑니다~~	https://myplace-phinf.pstatic.net/20221121_226/1669000999730rz9WP_JPEG/Screenshot_20221121-122256_Gallery.jpg	2024-03-16	2024-03-29
정월	희동희희	NULL	직원분들도 친절하시고 당근케잌 맛있어요	https://phinf.pstatic.net/contact/20180503_142/1525329874556eUvr7_JPEG/image.JPEG	2024-03-19	2024-03-29
정월	애플망고치즈많이	NULL	강남역 CGV언덕 끝자락에 위치한 카페. 차분한 분위기에서 도란도란 대화하기 좋습니다. 2층은 여러개의 룸으로 되어있어 소규모로 무리지어 대화하는 분위기고, 개인적으로는 1층이 따뜻한 분위기의 조명과 어우러져 2층보다 좋은 것 같습니다.	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2023-12-24	2024-03-29
정월	듀이듀잇	NULL	강남에 이런 보물같은 곳이 있네요 인테리어가 정갈하면서도 예뻐서 완전 취향이에요ㅜ 음료도 맛나고 말차아인슈페너 크리스마스 리스 같아서 이뻐요 디저트도 예쁘고 맛있어보여서 먹고싶었는데 너무 배불러서 패스.. 담엔 디저트까지 먹으러 가겠습니다!	https://myplace-phinf.pstatic.net/20231102_44/1698905930328Xttc9_PNG/IMG_0055.png	2023-11-30	2024-03-29
정월	피곤한 비너스	NULL	쿠키가 너무 달지않아서 좋았어요!!! 커피도 너무 맛있구 라떼아트도 너무 귀여워요!!! 공간이 되게 이뻐서 좋았어요~ 카페 화장실도 깔끔하구 편해요! 재방문의사 뿜뿜이네요~	https://phinf.pstatic.net/contact/20220302_38/1646153271918UE3r8_JPEG/image.jpg	2024-01-06	2024-03-29
정월	소정8728	NULL	분위기가 너뮤 좋아요! 많이 춥지 않아서 야외에서 마셨는데 굿굿 커피도 괜찮고 케이크도 작지만 맛나요	https://phinf.pstatic.net/contact/20220128_270/1643331346332Utsd0_JPEG/%B4%D9%BF%EE%B7%CE%B5%E5.jpg	2024-03-11	2024-03-29
정월	돌고래별똥별	NULL	샹그리아 말차라떼 쫀 맛!!! 초코무스 케이크도 맛있어요!! 단데 ,, 초코가 촉촉하니 맛있긴함🍫	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-09	2024-03-29
정월	땅크군단	NULL	말차 아인슈패너는 맛있었는데 말차라떼는... 호불호가 있을듯 ~	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-17	2024-03-29
정월	E H 4 9	NULL	오픈은 12시로 좀 늦은 편이에요~.  식사가 빨리 끝나서 오픈 전에 도착했는데 예쁜 낙엽들을 쓸고 계시더라고요. 치우기 힘드실텐데 예쁘니 그냥 둬도 될거 같다했더니 엄청 쌓인다고 하더라고요 ㅎㅎ   주문은 12시에 받으신다며 테라스에 앉아서 기다릴 수 있게 해주셔서 감사했어요.  주차는 불가능해도 카페 내 화장실이 있어서  좋았어요. 화장실도 넓고 깨끗해요.  외부 테라스에 자리잡아서 다른 층은 잘 모르겠지만 1층 가장 안쪽에 화장실이 있었고  1층 실내가 넓어서 자리도 많더라고요.  오픈 시간이 좀 아쉬운거 빼고 나머진 전부 강추예요~!	https://myplace-phinf.pstatic.net/20240309_278/1709953525272iOWo6_JPEG/1f96fbcfc57a115867f94c048ca32f2f.jpeg	2023-11-01	2024-03-29
정월	빙빙국슈	NULL	공간이 멋져요~~	https://myplace-phinf.pstatic.net/20240213_249/1707815255488oNvYu_PNG/c00c8ca7-0ff3-4015-8d2e-a550ab82dfe8.png	2024-03-12	2024-03-29
정월	Hyunhyuns	NULL	데이트하기 좋은 곳 같아요!! 케이크도 맛있고 분위기고 좋아요💛	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-07	2024-03-29
정월	RHO00	NULL	개인적으로 명성이나 유명세에 비해 많이 실망 말차슈페너가 유명하긴하지만 그거 외의 나머지 음료분야는 별로 그닥이랄까. 차도 그냥 티백류일뿐. 디저트류도 아예 말차쪽으로 밀고 갔으면 더 특색있었을것같은 아쉬움.  그냥 분위기로 가는 장소	https://phinf.pstatic.net/contact/20190722_240/15637632919630BDMr_PNG/profileImage.png	2024-02-08	2024-03-29
정월	쏘소솜	NULL	말차아인슈페너가 추천메뉴입니다	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-01-21	2024-03-29
정월	장군이사랑해	NULL	디저트도 이쁘고 인테리어도 너무 예뻐요. 베이커리도 음료도 맛나네요. 다음에 다시 방문하고 싶은 곳이에요 :)	https://myplace-phinf.pstatic.net/20240102_296/1704175833349KR9XC_JPEG/20221011_084218.jpg	2023-12-29	2024-03-29
정월	mugmilk	NULL	말차아인슈페너 맛이 있었어요~~!! 반려견이 동반이 돼서 좋아요~~~^^	https://myplace-phinf.pstatic.net/20231119_126/1700371656347dQnrU_JPEG/20231119_131910.jpg	2023-12-28	2024-03-29
정월	yyb****	NULL	너뮤 맛있어유 !! 데이트하기 좋구 직원분들고 친절하셔유 !! 또 방문할래유 !!	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-23	2024-03-29
정월	smilehninggg	NULL	근처 들릴일이 있어서 혼자 잠시 들렸어요. 당근케잌 좋아해서 참지못하고 먹었는데 중간중간 크림치즈 있는 당근케잌은 아니지만 그래도 위에 치즈층이 두껍고 맛있어요. 커피랑 어울려요.	https://phinf.pstatic.net/contact/20210827_121/1630040321968XLp8I_JPEG/image.jpg	2024-02-19	2024-03-29
정월	우히7341	NULL	일단 가기가 좀 어렵긴한데 사진 잘나오는 스팟이 많구 직원분들이 친절해욥..	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-02-29	2024-03-29
정월	suh****	NULL	아메리카노도 원두 고를수있고좋았어요	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-02-03	2024-03-29
정월	61stu01	NULL	조용한 분위기 입니다.  차분한 데이트 목적이나 혼자 사색 목적이면 괜찮은곳!!  재방문 의사 있음	https://phinf.pstatic.net/contact/profile/blog/17/4/61stu01.jpg	2024-03-11	2024-03-29
정월	polar410	NULL	공간이 꽤 넓어요. 인테리어도 좋구요.  가격대가 좀 있는 편인데 커피와 음료 맛도 괜찮았어요! 	https://myplace-phinf.pstatic.net/20220719_108/165823886931964Wlz_JPEG/58B77438-D68A-4231-BF96-476525D2F505.jpeg	2024-01-03	2024-03-29
정월	쩡쓰84	NULL	얘기하기 좋아요~	https://phinf.pstatic.net/contact/20200825_92/1598330789695utJs1_PNG/image.png	2024-02-16	2024-03-29
정월	숲숲20	NULL	NULL	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-18	2024-03-29
정월	브리다79	NULL	강남에 찐 일본 무드 카페라고 생각합니다 넘 예뻐요 	https://phinf.pstatic.net/contact/20220123_55/1642911389293uv3Ei_PNG/profileImage.png	2024-02-12	2024-03-29
정월	tna****	NULL	분위기 조용조용하고 괜찮앗어요	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-03-14	2024-03-29
정월	이삭엘라	NULL	얼그레이 쉬폰 케이크 너무 맛있어요🤍 공간도 넓고, 친절하세요☺️ 대화하기 너무 좋아요❕❕	https://g-place.pstatic.net/assets/shared/images/icon_default_profile.png	2024-01-11	2024-03-29
정월	Dia35	NULL	👍🏻👍🏻👍🏻	https://phinf.pstatic.net/contact/29/2012/8/28/lydia1977_1346129675108.gif	2024-03-20	2024-03-29
